medication_id,medication_name,category,manufacturer,unit_cost,unit_price,requires_rx,expiry_months
1,Cephalexin 250mg,Antibiotics,Novartis,110.9,144.7,True,12
2,Flagyl 50mg,Antibiotics,Amoun,163.19,259.13,False,12
3,Augmentin 100mg,Antibiotics,GSK,249.67,356.61,False,18
4,Flagyl 250mg,Antibiotics,Novartis,18.52,23.2,True,12
5,Clindamycin 500mg,Antibiotics,EIPICO,260.61,344.28,True,24
6,Azithromycin 100mg,Antibiotics,EVA Pharma,109.8,159.38,True,18
7,Augmentin 5mg,Antibiotics,Novartis,77.22,104.87,True,18
8,Flagyl 100mg,Antibiotics,Pfizer,253.64,380.26,False,12
9,Clindamycin 100mg,Antibiotics,AstraZeneca,123.34,145.51,False,24
10,Azithromycin 5mg,Antibiotics,EIPICO,152.27,235.73,False,18
11,Ciprofloxacin 500mg,Antibiotics,Novartis,77.76,109.07,True,36
12,Augmentin 50mg,Antibiotics,Sanofi,111.79,178.73,False,36
13,Amoxicillin 250mg,Antibiotics,Sanofi,259.03,315.7,False,36
14,Augmentin 250mg,Antibiotics,EIPICO,118.51,168.06,True,24
15,Augmentin 250mg,Antibiotics,Hikma,205.68,247.13,True,24
16,Clindamycin 5mg,Antibiotics,Sanofi,105.35,135.07,True,36
17,Amoxicillin 5mg,Antibiotics,Hikma,263.38,334.1,True,18
18,Augmentin 250mg,Antibiotics,Hikma,261.8,336.23,True,18
19,Azithromycin 100mg,Antibiotics,Hikma,229.94,320.24,True,12
20,Augmentin 100mg,Antibiotics,GSK,149.14,179.02,True,24
21,Amlodipine 250mg,Cardiovascular,EVA Pharma,76.06,106.89,False,12
22,Clopidogrel 50mg,Cardiovascular,Hikma,245.73,390.73,True,18
23,Amlodipine 5mg,Cardiovascular,Novartis,145.21,202.92,True,36
24,Amlodipine 10mg,Cardiovascular,Novartis,227.8,332.69,True,36
25,Clopidogrel 5mg,Cardiovascular,EIPICO,115.16,179.05,True,12
26,Amlodipine 500mg,Cardiovascular,Hikma,23.89,27.7,False,18
27,Aspirin Cardio 500mg,Cardiovascular,Pharco,7.12,10.46,True,18
28,Atenolol 250mg,Cardiovascular,Pfizer,258.59,305.62,True,24
29,Clopidogrel 50mg,Cardiovascular,AstraZeneca,68.2,82.49,True,36
30,Amlodipine 50mg,Cardiovascular,EVA Pharma,243.21,300.53,True,36
31,Enalapril 50mg,Cardiovascular,Pharco,126.28,194.31,False,12
32,Atenolol 50mg,Cardiovascular,EVA Pharma,219.82,331.99,True,18
33,Amlodipine 500mg,Cardiovascular,Sanofi,163.2,197.97,True,24
34,Losartan 500mg,Cardiovascular,Hikma,262.97,311.34,False,12
35,Atenolol 5mg,Cardiovascular,EVA Pharma,299.79,457.54,False,18
36,Amlodipine 50mg,Cardiovascular,Amoun,148.26,184.76,False,12
37,Amlodipine 50mg,Cardiovascular,EIPICO,5.64,7.48,True,24
38,Losartan 5mg,Cardiovascular,Hikma,287.41,459.26,True,36
39,Amlodipine 500mg,Cardiovascular,AstraZeneca,92.53,146.75,False,12
40,Clopidogrel 100mg,Cardiovascular,Hikma,21.86,30.89,True,18
41,Metformin,Diabetes,Sanofi,288.43,342.09,True,12
